,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
22569,"When it came to Osama bin Laden, the president the first day in office, I was sitting with him in the Oval Office, he called in the CIA and signed an order saying, ""My highest priority is to get bin Laden.""",2,38_2012,15,15,2784,2991,,"{""Premise"": 48}",Premise,"When it came to Osama bin Laden, the president the first day in office, I was sitting with him in the Oval Office, he called in the CIA and signed an order saying, ""My highest priority is to get bin Laden.""",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,188.96,199.72,NOT_FOUND
22570,"Prior to the election, prior to the -- him being sworn in, Governor Romney was asked the question about how he would proceed.",2,38_2012,16,16,2992,3118,,"{""Premise"": 25, ""O"": 1}",Premise,"Prior to the election, prior to the -- him being sworn in, Governor Romney was asked the question about how he would proceed.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,199.72,206.76,NOT_FOUND
22571,"He said, ""I wouldn't move heaven and earth to get bin Laden.""",2,38_2012,17,17,3118,3180,,"{""Premise"": 17}",Premise,"He said, ""I wouldn't move heaven and earth to get bin Laden.""",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,206.76,211.92,NOT_FOUND
22572,He didn't understand it was more than about taking a murderer off the battlefield.,2,38_2012,18,18,3180,3263,,"{""Premise"": 15, ""O"": 1}",Premise,He didn't understand it was more than about taking a murderer off the battlefield.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,211.92,214.28,NOT_FOUND
22573,"It was about restoring America's heart and letting terrorists around the world know, if you do harm to America, we will track you to the gates of hell if need be.",2,38_2012,19,19,3263,3426,,"{""Premise"": 34, ""O"": 1}",Premise,"It was about restoring America's heart and letting terrorists around the world know, if you do harm to America, we will track you to the gates of hell if need be.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,214.28,224.24,NOT_FOUND
22574,"And lastly, the president of the United States has -- has led with a steady hand and clear vision.",2,38_2012,20,20,3427,3526,,"{""O"": 4, ""Claim"": 17}",Claim,"And lastly, the president of the United States has -- has led with a steady hand and clear vision.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,224.24,231.84,NOT_FOUND
22575,"Governor Romney, the opposite.",2,38_2012,21,21,3526,3557,,"{""Claim"": 5, ""O"": 1}",Claim,"Governor Romney, the opposite.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,231.84,233.6,NOT_FOUND
22576,The last thing we need now is another war.,2,38_2012,22,22,3557,3600,,"{""Claim"": 9, ""O"": 1}",Claim,The last thing we need now is another war.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,233.6,236.64,NOT_FOUND
22577,RYAN: We mourn the loss of these four Americans who were murdered.,4,38_2012,0,0,3630,3697,,"{""O"": 14}",O, We mourn the loss of these four Americans who were murdered.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,240.4,244.8,NOT_FOUND
22578,"RYAN: When you take a look at what has happened just in the last few weeks, they sent the U.N. ambassador out to say that this was because of a protest and a YouTube video.",5,38_2012,0,0,3698,3871,,"{""O"": 3, ""Premise"": 35}",Premise," When you take a look at what has happened just in the last few weeks, they sent the U.N. ambassador out to say that this was because of a protest and a YouTube video.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,244.8,254.48,NOT_FOUND
22579,It took the president two weeks to acknowledge that this was a terrorist attack.,5,38_2012,1,1,3871,3952,,"{""Premise"": 14, ""O"": 1}",Premise,It took the president two weeks to acknowledge that this was a terrorist attack.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,254.48,259.96,NOT_FOUND
22580,He went to the U.N. and in his speech at the U.N. he said six times -- he talked about the YouTube video.,5,38_2012,2,2,3952,4058,,"{""Premise"": 23, ""O"": 1}",Premise,He went to the U.N. and in his speech at the U.N. he said six times -- he talked about the YouTube video.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,259.96,265.28,NOT_FOUND
22581,"Look, if we're hit by terrorists we're going to call it for what it is, a terrorist attack.",5,38_2012,3,3,4059,4151,,"{""O"": 3, ""Claim"": 20}",Claim,"Look, if we're hit by terrorists we're going to call it for what it is, a terrorist attack.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,265.28,271.44,NOT_FOUND
22582,Our ambassador in Paris has a Marine detachment guarding him.,5,38_2012,4,4,4151,4213,,"{""Premise"": 10, ""O"": 1}",Premise,Our ambassador in Paris has a Marine detachment guarding him.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,271.44,274.72,NOT_FOUND
22583,"Shouldn't we have a Marine detachment guarding our ambassador in Benghazi, a place where we knew that there was an Al Qaida cell with arms?",5,38_2012,5,5,4213,4353,,"{""Premise"": 28}",Premise,"Shouldn't we have a Marine detachment guarding our ambassador in Benghazi, a place where we knew that there was an Al Qaida cell with arms?",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,274.72,287.08,NOT_FOUND
22584,This is becoming more troubling by the day.,5,38_2012,6,6,4354,4398,,"{""Claim"": 8, ""O"": 1}",Claim,This is becoming more troubling by the day.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,287.08,289.4,NOT_FOUND
22585,They first blamed the YouTube video.,5,38_2012,7,7,4398,4435,,"{""Premise"": 6, ""O"": 1}",Premise,They first blamed the YouTube video.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,289.4,290.8,NOT_FOUND
22586,Now they're trying to blame the Romney-Ryan ticket for making this an issue.,5,38_2012,8,8,4435,4512,,"{""Premise"": 14, ""O"": 1}",Premise,Now they're trying to blame the Romney-Ryan ticket for making this an issue.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,290.8,295.04,NOT_FOUND
22587,"With respect to Iraq, we had the same position before the withdrawal, which was we agreed with the Obama administration.",5,38_2012,9,9,4513,4634,,"{""Premise"": 22, ""O"": 1}",Premise,"With respect to Iraq, we had the same position before the withdrawal, which was we agreed with the Obama administration.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,295.04,303.8,NOT_FOUND
22588,Let's have a status of forces agreement to make sure that we secure our gains.,5,38_2012,10,10,4634,4713,,"{""Premise"": 16, ""O"": 1}",Premise,Let's have a status of forces agreement to make sure that we secure our gains.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,303.8,307.32,NOT_FOUND
22589,The vice president was put in charge of those negotiations by President Obama and they failed to get the agreement.,5,38_2012,11,11,4713,4829,,"{""Premise"": 20, ""O"": 1}",Premise,The vice president was put in charge of those negotiations by President Obama and they failed to get the agreement.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,307.32,314.2,NOT_FOUND
22590,We don't have a status of forces agreement because they failed to get one.,5,38_2012,12,12,4829,4904,,"{""Claim"": 15, ""O"": 1}",Claim,We don't have a status of forces agreement because they failed to get one.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,314.2,317.84,NOT_FOUND
22591,That's what we are talking about.,5,38_2012,13,13,4904,4938,,"{""O"": 8}",O,That's what we are talking about.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,317.84,319.76,NOT_FOUND
22592,"Now, when it comes to our veterans, we owe them a great debt of gratitude for what they've done for us, including your son Beau.",5,38_2012,14,14,4939,5068,,"{""O"": 30}",O,"Now, when it comes to our veterans, we owe them a great debt of gratitude for what they've done for us, including your son Beau.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,319.76,327.52,NOT_FOUND
22593,But we also want to make sure that we don't lose the things we fought so hard to get.,5,38_2012,15,15,5068,5154,,"{""O"": 21}",O,But we also want to make sure that we don't lose the things we fought so hard to get.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,327.52,332.16,NOT_FOUND
22594,"Now, with respect to Afghanistan, the 2014 deadline, we agree with a 2014 transition.",5,38_2012,16,16,5155,5241,,"{""O"": 12, ""Claim"": 6}",O,"Now, with respect to Afghanistan, the 2014 deadline, we agree with a 2014 transition.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Mixed,332.16,336.28,NOT_FOUND
22595,"But what we also want it do is make sure that we're not projecting weakness abroad, and that's what's happening here.",5,38_2012,17,17,5241,5359,,"{""O"": 4, ""Claim"": 22}",Claim,"But what we also want it do is make sure that we're not projecting weakness abroad, and that's what's happening here.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,336.28,343.4,NOT_FOUND
22596,"RYAN: This Benghazi issue would be a tragedy in and of itself, but unfortunately it's indicative of a broader problem.",6,38_2012,0,0,5361,5480,,"{""O"": 17, ""Claim"": 7}",O," This Benghazi issue would be a tragedy in and of itself, but unfortunately it's indicative of a broader problem.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Mixed,343.4,350.16,NOT_FOUND
22597,"And that is what we are watching on our TV screens is the unraveling of the Obama foreign policy, which is making the (inaudible) more chaotic us less safe.",6,38_2012,1,1,5480,5637,,"{""O"": 16, ""Claim"": 17}",Claim,"And that is what we are watching on our TV screens is the unraveling of the Obama foreign policy, which is making the (inaudible) more chaotic us less safe.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,350.16,359.8,NOT_FOUND
22598,"RYAN: On that same day, the Obama administration had the exact same position.",8,38_2012,0,0,5914,5992,,"{""O"": 16}",O," On that same day, the Obama administration had the exact same position.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,375.8,379.8,NOT_FOUND
22599,Let's recall that they disavowed their own statement that they had put out earlier in the day in Cairo.,8,38_2012,1,1,5992,6096,,"{""O"": 21}",O,Let's recall that they disavowed their own statement that they had put out earlier in the day in Cairo.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,379.8,384.68,NOT_FOUND
22600,"So we had the same position, but we will -- it's never too early to speak out for our values.",8,38_2012,2,2,6096,6190,,"{""O"": 12, ""Premise"": 11}",O,"So we had the same position, but we will -- it's never too early to speak out for our values.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Mixed,384.68,390.68,NOT_FOUND
22601,We should have spoken out right away when the green revolution was up and starting; when the mullahs in Iran were attacking their people.,8,38_2012,3,3,6190,6328,,"{""Claim"": 24, ""O"": 2}",Claim,We should have spoken out right away when the green revolution was up and starting; when the mullahs in Iran were attacking their people.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,390.68,397.76,NOT_FOUND
22602,We should not have called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.,8,38_2012,4,4,6328,6443,,"{""Claim"": 20, ""O"": 1}",Claim,We should not have called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,397.76,404.16,NOT_FOUND
22603,"We should always stand up for peace, for democracy, for individual rights.",8,38_2012,5,5,6443,6518,,"{""Claim"": 14, ""O"": 1}",Claim,"We should always stand up for peace, for democracy, for individual rights.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,404.16,409.24,NOT_FOUND
22604,"And we should not be imposing these devastating defense cuts, because what that does when we equivocate on our values, when we show that we're cutting down on defense, it makes us more weak.",8,38_2012,6,6,6519,6710,,"{""O"": 4, ""Claim"": 9, ""Premise"": 26}",Premise,"And we should not be imposing these devastating defense cuts, because what that does when we equivocate on our values, when we show that we're cutting down on defense, it makes us more weak.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Mixed,409.24,419.76,NOT_FOUND
22605,It projects weakness.,8,38_2012,7,7,6710,6732,,"{""Premise"": 3, ""O"": 1}",Premise,It projects weakness.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,419.76,420.4,NOT_FOUND
22606,"And when we look weak, our adversaries are much more willing to test us.",8,38_2012,8,8,6732,6805,,"{""O"": 2, ""Premise"": 14}",Premise,"And when we look weak, our adversaries are much more willing to test us.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,420.4,424.04,NOT_FOUND
22607,"They're more brazen in their attacks, and are allies are less willing to...  (CROSSTALK)",8,38_2012,9,9,6805,6894,,"{""O"": 19}",O,"They're more brazen in their attacks, and are allies are less willing to...  (CROSSTALK)",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,424.04,427.16,NOT_FOUND
22608,"BIDEN: With all due respect, that's a bunch of malarkey.",9,38_2012,0,0,6896,6953,,"{""O"": 8, ""Claim"": 6}",O," With all due respect, that's a bunch of malarkey.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Mixed,427.16,429.0,NOT_FOUND
22609,BIDEN: Because not a single thing he said is accurate.,11,38_2012,0,0,6984,7039,,"{""O"": 4, ""Claim"": 8}",Claim, Because not a single thing he said is accurate.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,430.48,432.72,NOT_FOUND
22610,First of all...,11,38_2012,1,1,7039,7055,,"{""O"": 4}",O,First of all...,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,432.72,433.36,NOT_FOUND
22611,BIDEN: I will be very specific.,13,38_2012,0,0,7079,7111,,"{""O"": 8}",O, I will be very specific.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,434.16,435.56,NOT_FOUND
22612,"Number one, the -- this lecture on embassy security -- the congressman here cut embassy security in his budget by $300 million below what we asked for, number one.",13,38_2012,1,1,7111,7275,,"{""O"": 15, ""Claim"": 18}",Claim,"Number one, the -- this lecture on embassy security -- the congressman here cut embassy security in his budget by $300 million below what we asked for, number one.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,435.56,448.68,NOT_FOUND
22613,So much for the embassy security piece.,13,38_2012,2,2,7275,7315,,"{""O"": 8}",O,So much for the embassy security piece.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,448.68,450.72,NOT_FOUND
22614,"Number two, Governor Romney, before he knew the facts, before he even knew that our ambassador was killed, he was out making a political statement which was panned by the media around the world.",13,38_2012,3,3,7315,7510,,"{""O"": 4, ""Claim"": 35}",Claim,"Number two, Governor Romney, before he knew the facts, before he even knew that our ambassador was killed, he was out making a political statement which was panned by the media around the world.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,450.72,462.96,NOT_FOUND
22615,And this talk about this -- this weakness.,13,38_2012,4,4,7510,7553,,"{""O"": 1, ""Claim"": 8}",Claim,And this talk about this -- this weakness.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,462.96,466.36,NOT_FOUND
22616,I -- I don't understand what my friend's talking about here.,13,38_2012,5,5,7553,7614,,"{""Claim"": 13, ""O"": 1}",Claim,I -- I don't understand what my friend's talking about here.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,466.36,469.6,NOT_FOUND
22617,We -- this is a president who's gone out and done everything he has said he was going to do.,13,38_2012,6,6,7615,7708,,"{""O"": 3, ""Premise"": 19}",Premise,We -- this is a president who's gone out and done everything he has said he was going to do.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,469.6,474.32,NOT_FOUND
22618,This is a guy who's repaired our alliances so the rest of the world follows us again.,13,38_2012,7,7,7708,7794,,"{""Premise"": 18, ""O"": 1}",Premise,This is a guy who's repaired our alliances so the rest of the world follows us again.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,474.32,478.2,NOT_FOUND
22619,"This is the guy who brought the entire world, including Russia and China, to bring about the most devastating -- most devastating -- the most devastating efforts on Iran to make sure that they in fact stop (inaudible).",13,38_2012,8,8,7794,8013,,"{""Premise"": 42, ""O"": 1}",Premise,"This is the guy who brought the entire world, including Russia and China, to bring about the most devastating -- most devastating -- the most devastating efforts on Iran to make sure that they in fact stop (inaudible).",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,478.2,494.8,NOT_FOUND
22620,"Look, I -- I just -- I mean, these guys bet against America all the time.",13,38_2012,9,9,8014,8088,,"{""O"": 19}",O,"Look, I -- I just -- I mean, these guys bet against America all the time.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,494.8,498.6,NOT_FOUND
22621,"BIDEN: Yeah, sure.",15,38_2012,0,0,8140,8159,,"{""O"": 6}",O," Yeah, sure.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,500.88,502.24,NOT_FOUND
22622,BIDEN: Because that was exactly what we were told by the intelligence community.,17,38_2012,0,0,8388,8469,,"{""O"": 4, ""Claim"": 11}",Claim, Because that was exactly what we were told by the intelligence community.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,515.68,520.64,NOT_FOUND
22623,The intelligence community told us that.,17,38_2012,1,1,8469,8510,,"{""Claim"": 6, ""O"": 1}",Claim,The intelligence community told us that.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,520.64,523.16,NOT_FOUND
22624,"As they learned more facts about exactly what happened, they changed their assessment.",17,38_2012,2,2,8510,8597,,"{""Premise"": 14, ""O"": 1}",Premise,"As they learned more facts about exactly what happened, they changed their assessment.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,523.16,528.24,NOT_FOUND
22625,"That's why there's also an investigation headed by Tom Pickering, a leading diplomat from the Reagan years, who is doing an investigation as to whether or not there are any lapses, what the lapses were, so that they will never happen again.",17,38_2012,3,3,8597,8838,,"{""Premise"": 48, ""O"": 1}",Premise,"That's why there's also an investigation headed by Tom Pickering, a leading diplomat from the Reagan years, who is doing an investigation as to whether or not there are any lapses, what the lapses were, so that they will never happen again.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,528.24,540.64,NOT_FOUND
22626,"BIDEN: Well, we weren't told they wanted more security there.",19,38_2012,0,0,8886,8948,,"{""O"": 5, ""Premise"": 9}",Premise," Well, we weren't told they wanted more security there.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,542.32,545.24,NOT_FOUND
22627,We did not know they wanted more security again.,19,38_2012,1,1,8948,8997,,"{""Claim"": 9, ""O"": 1}",Claim,We did not know they wanted more security again.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,545.24,547.8,NOT_FOUND
22628,"And by the way, at the time we were told exactly -- we said exactly what the intelligence community told us that they knew.",19,38_2012,2,2,8997,9121,,"{""O"": 14, ""Claim"": 12}",O,"And by the way, at the time we were told exactly -- we said exactly what the intelligence community told us that they knew.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Mixed,547.8,555.6,NOT_FOUND
22629,That was the assessment.,19,38_2012,3,3,9121,9146,,"{""Premise"": 4, ""O"": 1}",Premise,That was the assessment.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,555.6,557.52,NOT_FOUND
22630,"And as the intelligence community changed their view, we made it clear they changed their view.",19,38_2012,4,4,9146,9242,,"{""O"": 2, ""Claim"": 16}",Claim,"And as the intelligence community changed their view, we made it clear they changed their view.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,557.52,561.72,NOT_FOUND
22631,That's why I said we will get to the bottom of this.,19,38_2012,5,5,9242,9295,,"{""O"": 14}",O,That's why I said we will get to the bottom of this.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,561.72,564.68,NOT_FOUND
22632,"You know, usually when there's a crisis, we pull together.",19,38_2012,6,6,9295,9354,,"{""O"": 14}",O,"You know, usually when there's a crisis, we pull together.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,564.68,567.0,NOT_FOUND
22633,We pull together as a nation.,19,38_2012,7,7,9354,9384,,"{""O"": 7}",O,We pull together as a nation.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,567.0,568.76,NOT_FOUND
22634,"But as I said, even before we knew what happened to the ambassador, the governor was holding a press conference -- was holding a press conference.",19,38_2012,8,8,9384,9531,,"{""O"": 6, ""Premise"": 23}",Premise,"But as I said, even before we knew what happened to the ambassador, the governor was holding a press conference -- was holding a press conference.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,568.76,575.84,NOT_FOUND
22635,That's not presidential leadership.,19,38_2012,9,9,9531,9567,,"{""Claim"": 5, ""O"": 1}",Claim,That's not presidential leadership.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,575.84,578.44,NOT_FOUND
22636,"RYAN: Oh, gosh, yes.",21,38_2012,0,0,9862,9883,,"{""O"": 8}",O," Oh, gosh, yes.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,596.0,597.92,NOT_FOUND
22637,Urinating on Taliban corpses?,21,38_2012,1,1,9883,9913,,"{""O"": 5}",O,Urinating on Taliban corpses?,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,597.92,599.72,NOT_FOUND
22638,What we should not apologize for...,21,38_2012,2,2,9913,9949,,"{""O"": 7}",O,What we should not apologize for...,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,599.72,601.52,NOT_FOUND
22639,RYAN: What -- what we should not be apologizing for are standing up for our values.,23,38_2012,0,0,9989,10073,,"{""O"": 5, ""Claim"": 13}",Claim, What -- what we should not be apologizing for are standing up for our values.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,602.4,605.68,NOT_FOUND
