,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
26190,I made a good selection.,9,15_1988,16,16,5643,5668,,"{""Claim"": 5, ""O"": 1}",Claim,I made a good selection.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Claim,409.24,410.72,NOT_FOUND
26191,"The American people are seeing it, and I'm proud of it; that's what I'd say.",9,15_1988,17,17,5668,5745,,"{""Premise"": 11, ""O"": 10}",Premise,"The American people are seeing it, and I'm proud of it; that's what I'd say.",BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Premise,410.72,414.32,NOT_FOUND
26192,And he could do the job.,9,15_1988,18,18,5745,5770,,"{""O"": 2, ""Claim"": 5}",Claim,And he could do the job.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Claim,414.32,415.72,NOT_FOUND
26193,"DUKAKIS: Bernard, this was the first presidential decision that we as nominees were called upon to make.",11,15_1988,0,0,5818,5923,,"{""O"": 5, ""Premise"": 15}",Premise," Bernard, this was the first presidential decision that we as nominees were called upon to make.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,419.44,425.36,NOT_FOUND
26194,And that's why people are so concerned.,11,15_1988,1,1,5923,5963,,"{""O"": 2, ""Claim"": 7}",Claim,And that's why people are so concerned.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,425.36,427.08,NOT_FOUND
26195,Because it was an opportunity for us to demonstrate what we were looking for in a running mate.,11,15_1988,2,2,5963,6059,,"{""O"": 2, ""Premise"": 17}",Premise,Because it was an opportunity for us to demonstrate what we were looking for in a running mate.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,427.08,433.44,NOT_FOUND
26196,"More than that, it was the first national security decision that we had to make.",11,15_1988,3,3,6059,6140,,"{""O"": 5, ""Premise"": 12}",Premise,"More than that, it was the first national security decision that we had to make.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,433.44,438.16,NOT_FOUND
26197,The Vice President talks about national security.,11,15_1988,4,4,6140,6190,,"{""Premise"": 7, ""O"": 1}",Premise,The Vice President talks about national security.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,438.16,439.76,NOT_FOUND
26198,"Three times since World War II, the Vice President has had to suddenly become the President and commander in chief.",11,15_1988,5,5,6190,6306,,"{""Premise"": 21, ""O"": 1}",Premise,"Three times since World War II, the Vice President has had to suddenly become the President and commander in chief.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,439.76,447.48,NOT_FOUND
26199,"I picked Lloyd Bentsen, because I thought he was the best qualified person for the job.",11,15_1988,6,6,6306,6394,,"{""O"": 7, ""Claim"": 11}",Claim,"I picked Lloyd Bentsen, because I thought he was the best qualified person for the job.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,447.48,452.64,NOT_FOUND
26200,(Applause) GOY.,11,15_1988,7,7,6394,6410,,"{""O"": 5}",O,(Applause) GOY.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,O,452.64,454.36,NOT_FOUND
26201,"DUKAKIS: Mr. Bush picked Dan Quayle, and before he did it, he said, watch my choice for vice president, it will tell all And it sure did.",12,15_1988,0,0,6411,6549,,"{""O"": 33}",O," Mr. Bush picked Dan Quayle, and before he did it, he said, watch my choice for vice president, it will tell all And it sure did.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,O,454.36,467.0,NOT_FOUND
26202,It sure did.,12,15_1988,1,1,6549,6562,,"{""O"": 4}",O,It sure did.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,O,467.0,467.72,NOT_FOUND
26203,(Applause),12,15_1988,2,2,6562,6573,,"{""O"": 3}",O,(Applause),DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,O,2303.24,2304.12,NOT_FOUND
26204,"BUSH: No, because I'm pledged to that, and yes, some taxes have gone up.",15,15_1988,0,0,7036,7109,,"{""O"": 7, ""Claim"": 1, ""Premise"": 12}",Premise," No, because I'm pledged to that, and yes, some taxes have gone up.",BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Mixed,501.8,506.96,NOT_FOUND
26205,"And the main point is, taxes have been cut, and yet income is up to the Federal Government by 25 percent in the last three years.",15,15_1988,1,1,7109,7239,,"{""O"": 9, ""Premise"": 20}",Premise,"And the main point is, taxes have been cut, and yet income is up to the Federal Government by 25 percent in the last three years.",BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Premise,506.96,518.96,NOT_FOUND
26206,And so what I want to do is keep this expansion going.,15,15_1988,2,2,7239,7294,,"{""O"": 3, ""Claim"": 10}",Claim,And so what I want to do is keep this expansion going.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Claim,518.96,523.08,NOT_FOUND
26207,I don't want to kill it off by a tax increase.,15,15_1988,3,3,7294,7341,,"{""Claim"": 12, ""O"": 1}",Claim,I don't want to kill it off by a tax increase.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Claim,523.08,526.56,NOT_FOUND
26208,"More Americans at work today than at any time in the history of the country, and a greater percentage of the work force.",15,15_1988,4,4,7341,7462,,"{""Premise"": 24, ""O"": 1}",Premise,"More Americans at work today than at any time in the history of the country, and a greater percentage of the work force.",BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Premise,526.56,533.92,NOT_FOUND
26209,And the way you kill expansions is to raise taxes.,15,15_1988,5,5,7462,7513,,"{""O"": 2, ""Premise"": 9}",Premise,And the way you kill expansions is to raise taxes.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Premise,533.92,537.84,NOT_FOUND
26210,"And I don't want to do that, and I won't do that.",15,15_1988,6,6,7513,7563,,"{""O"": 4, ""Claim"": 12}",Claim,"And I don't want to do that, and I won't do that.",BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Claim,537.84,541.04,NOT_FOUND
26211,And what I have proposed is something much better.,15,15_1988,7,7,7563,7614,,"{""O"": 2, ""Claim"": 8}",Claim,And what I have proposed is something much better.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Claim,541.04,544.08,NOT_FOUND
26212,And it's going to take discipline of the executive branch; it's going to take discipline of the congressional branch.,15,15_1988,8,8,7614,7732,,"{""O"": 3, ""Claim"": 20}",Claim,And it's going to take discipline of the executive branch; it's going to take discipline of the congressional branch.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Claim,544.08,550.56,NOT_FOUND
26213,And that is what I call a flexible freeze that allows growth about 4 percent or the rate of inflation but does not permit the Congress just to add on spending.,15,15_1988,9,9,7732,7892,,"{""O"": 2, ""Premise"": 30}",Premise,And that is what I call a flexible freeze that allows growth about 4 percent or the rate of inflation but does not permit the Congress just to add on spending.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,Premise,550.56,561.0,NOT_FOUND
26214,I hear this talk about a blank check.,15,15_1988,10,10,7892,7930,,"{""O"": 9}",O,I hear this talk about a blank check.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,O,561.0,563.36,NOT_FOUND
26215,The American people are pretty smart: they know who writes out the checks.,15,15_1988,11,11,7930,8005,,"{""O"": 15}",O,The American people are pretty smart: they know who writes out the checks.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,O,563.36,567.28,NOT_FOUND
26216,And they know who appropriates the money.,15,15_1988,12,12,8005,8047,,"{""O"": 8}",O,And they know who appropriates the money.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,O,567.28,569.64,NOT_FOUND
26217,It is the United States Congress.,15,15_1988,13,13,8047,8081,,"{""O"": 7}",O,It is the United States Congress.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,O,569.64,571.6,NOT_FOUND
26218,"And by two to one, Congress is blamed for these deficits.",15,15_1988,14,14,8081,8139,,"{""O"": 13}",O,"And by two to one, Congress is blamed for these deficits.",BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,O,571.6,576.76,NOT_FOUND
26219,And the answer is to discipline both the executive branch and the congressional branch by holding the line on taxes.,15,15_1988,15,15,8139,8256,,"{""O"": 21}",O,And the answer is to discipline both the executive branch and the congressional branch by holding the line on taxes.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,O,576.76,584.84,NOT_FOUND
26220,So I'm pledged to do that.,15,15_1988,16,16,8256,8283,,"{""O"": 8}",O,So I'm pledged to do that.,BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,O,584.84,586.68,NOT_FOUND
26221,"And those pessimists who say it can't be done, I'm sorry, I just have a fundamental disagreement with them",15,15_1988,17,17,8283,8390,,"{""O"": 23}",O,"And those pessimists who say it can't be done, I'm sorry, I just have a fundamental disagreement with them",BUSH,Candidate,TEST,13 Oct 1988,1988,George H. W. Bush,O,586.68,592.44,NOT_FOUND
26222,"DUKAKIS: Ann, the Vice President made that pledge.",17,15_1988,0,0,8438,8489,,"{""O"": 5, ""Premise"": 6}",Premise," Ann, the Vice President made that pledge.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,597.44,600.76,NOT_FOUND
26223,He's broken it three times in the past year already.,17,15_1988,1,1,8489,8542,,"{""Premise"": 11, ""O"": 1}",Premise,He's broken it three times in the past year already.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,600.76,603.16,NOT_FOUND
26224,So it isn't worth the paper it's printed on.,17,15_1988,2,2,8542,8587,,"{""O"": 2, ""Claim"": 10}",Claim,So it isn't worth the paper it's printed on.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,603.16,605.28,NOT_FOUND
26225,"And what I'm concerned about is that if we continue with the policies that Mr. Bush is talking about here this evening, the flexible freeze somebody described it the other day as a kind of economic slurpee he wants to spend billions on virtually every weapons system around.",17,15_1988,3,3,8587,8862,,"{""O"": 51}",O,"And what I'm concerned about is that if we continue with the policies that Mr. Bush is talking about here this evening, the flexible freeze somebody described it the other day as a kind of economic slurpee he wants to spend billions on virtually every weapons system around.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,O,605.28,622.24,NOT_FOUND
26226,"He says he's not going to raise taxes, though he has broken that pledge repeatedly.",17,15_1988,4,4,8862,8946,,"{""O"": 5, ""Claim"": 7, ""Premise"": 6}",Claim,"He says he's not going to raise taxes, though he has broken that pledge repeatedly.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Mixed,622.24,625.76,NOT_FOUND
26227,"He says he wants to give the wealthiest one percent of the people in this country a five-year $40 billion tax break, and we're going to pay for it.",17,15_1988,5,5,8946,9094,,"{""O"": 5, ""Premise"": 21, ""Claim"": 7}",Premise,"He says he wants to give the wealthiest one percent of the people in this country a five-year $40 billion tax break, and we're going to pay for it.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Mixed,625.76,634.68,NOT_FOUND
26228,And he's been proposing all kinds of programs for new spending costing billions.,17,15_1988,6,6,9094,9175,,"{""O"": 2, ""Premise"": 13}",Premise,And he's been proposing all kinds of programs for new spending costing billions.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,634.68,639.44,NOT_FOUND
26229,"Now if we continue with these policies, this trillion and a half dollars worth of new debt that's already been added on the backs of the American taxpayer is going to increase even more, and if we continue with this for another four years, then I'm worried about the next generation, whether we can ever turn this situation around.",17,15_1988,7,7,9175,9507,,"{""O"": 4, ""Claim"": 62}",Claim,"Now if we continue with these policies, this trillion and a half dollars worth of new debt that's already been added on the backs of the American taxpayer is going to increase even more, and if we continue with this for another four years, then I'm worried about the next generation, whether we can ever turn this situation around.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,639.44,654.44,NOT_FOUND
26230,"No, we need a chief executive who is prepared to lead; who won't blame the Congress; who will lead to bring down that deficit, who will make tough choices on spending",17,15_1988,8,8,9507,9674,,"{""O"": 5, ""Claim"": 31}",Claim,"No, we need a chief executive who is prepared to lead; who won't blame the Congress; who will lead to bring down that deficit, who will make tough choices on spending",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,654.44,663.04,NOT_FOUND
26231,DUKAKIS: will go out and do the job that we expect of him and do it with the Congress of the United States.,19,15_1988,0,0,9691,9799,,"{""O"": 3, ""Claim"": 22}",Claim, will go out and do the job that we expect of him and do it with the Congress of the United States.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,663.12,667.8,NOT_FOUND
26232,(Applause),19,15_1988,1,1,9799,9810,,"{""O"": 3}",O,(Applause),DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,O,2303.24,2304.12,NOT_FOUND
26233,"DUKAKIS: No, I'm not sure I can promise that; I don't think either one of us can really.",22,15_1988,0,0,10121,10210,,"{""O"": 5, ""Claim"": 11, ""Premise"": 8}",Claim," No, I'm not sure I can promise that; I don't think either one of us can really.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Mixed,689.08,691.88,NOT_FOUND
26234,There is no way of anticipating what may happen.,22,15_1988,1,1,10210,10259,,"{""Claim"": 9, ""O"": 1}",Claim,There is no way of anticipating what may happen.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,691.88,694.0,NOT_FOUND
